aaa;aaa;anda;12;100;0;;;0
7794000720381;77794000720380;Knorr S Cubos Panceta Ceb x 4u;2.63;0;N;1;120;0
7794000720305;77794000720304;Knorr S cubos Provenzal x 4u;2.63;0;N;1;120;0
7794000594517;;Knorr Sabororizador italiano x 4u;3.2;0;N;1;120;0
943;;Knorr Sabor Cubo Hongos x 4u;2.74;0;N;1;120;0
7794000720428;;Knorr Sabor cubos cr. verd x 4u;2.63;0;N;1;120;0
7794268000249;;Yerba Mate Reina Mora x 25S (10);1.86;1004;N;1;10;0
948;;Pa�ales Confees M. x12x16;4.11;0;N;1;16;0
6923794403106;;Dulce de Membrillo x 5kg cajon;29.58;1;N;1;1;0
1016;;Fogueta Tres tiros x 3u;4.19;516;N;1;100;0
7792260231180;;Mermelada Zapallo 12u x 500g;2.97;2;N;1;12;0
4779426800453;;Perejil Desh Rm 10 x 25G;12.93;10;N;1;1;0
1029;;Jumala Albahaca 25u x 50g;2.32;0;N;1;25;0
1049;;Jumala Ajo Molido 25u x 50g;1.97;0;N;1;25;0
1053;;Cafe Etiqueta Dorada 6x1kg;17.84;0;N;1;6;0
7792260000021;;Mermelada Durazno 12u x 500g;2.86;3;N;1;12;0
7792260000052;;Mermelada Ciruela 12u x 500g;2.97;1;N;1;12;0
7792260000038;;Mermelada Damasco 12u x 500g;2.97;1;N;1;12;0
7792260231043;;Mermelada Tuti Frutti 12u x 500g;2.97;0;N;1;12;0
7792260000083;;Mermelada Higo 12u x 500g;2.97;1;N;1;12;0
7792260639382;;Mermelada Dulce de Batata 12u x 500g;3.66;88;N;1;12;0
7792260000045;;Mermelada Naranja 12u x 500g;2.97;0;N;1;12;0
8779226000026;;Dulce de Batata x 5kg cajon;29.27;3;N;1;1;0
7792260000274;;Dulce de Batata c/choc x 5kg cajon;29.27;4;N;1;1;0
7794000451391;7794000999121;Mayonesa Hellmanns Light x 125grs (20);1.58;171;N;1;40;0
7794000502130;77794000502139;Caldos Knorr Gallina 24x2;1.2;9786;N;1;480;0
7794000504134;77794000504133;Caldos Knorr Verdura 24x2;1.2;7116;N;1;480;0
7794000501133;77794000501132;Caldos Knorr Carne 24x2;1.2;1896;N;1;480;0
7794000401228;57794000401223;Mayonesa Hellmanns 20x125 grs;1.37;2794;N;1;40;0
7794000401532;37794000401533;Mayonesa Hellmanns 3 x 2900cc;24.65;180;N;1;3;0
1108;;Ca�on Trueno 2 ";11.26;62;N;1;60;0
7790129500224;;Ca�a Voladora 30cm  con tiro 12x12;15.71;0;N;1;40;0
